input_name,gbif_matched_scientificName,gbif_accepted_usageKey,wfo_match_id,wfo_accepted_name,gbif_native_countries,gbif_native_country_codes,gbif_native_total_records,gbif_native_sampled_records,gbif_native_confidence,wfo_native_areas_found_in,wfo_native_countries,wfo_url
Epiphyllum anguliger (Lem.) G.Don,Epiphyllum anguliger (Lem.) G.Don,10771315,wfo-0001430590,Disocactus anguliger (Lem.) M.A.Cruz & S.Arias,Mexico,MX,1,1,very_low,,,https://www.worldfloraonline.org/taxon/wfo-0001430590
Epiphyllum chrysocardium Alex.,Epiphyllum chrysocardium Alexander,5621256,wfo-0000670160,Epiphyllum chrysocardium Alexander,,,0,0,none,,,https://www.worldfloraonline.org/taxon/wfo-0000670160
Epiphyllum oxypetalum (DC.) Haw.,Epiphyllum oxypetalum (DC.) Haw.,5384031,wfo-0000670203,Epiphyllum oxypetalum (DC.) Haw.,,,0,0,none,,,https://www.worldfloraonline.org/taxon/wfo-0000670203
Erythroxylum coca Lam,Erythroxylum coca Lam.,2873939,wfo-0000679758,Erythroxylum coca Lam.,Austria | Bolivia (Plurinational State of) | Brazil | China | Colombia | Germany | Peru | Sri Lanka,AT | BO | BR | CN | CO | DE | LK | PE,90,90,medium,Southern America Brazil Brazil North | Southern America | Brazil | Brazil North | Western South America Bolivia | Western South America | Bolivia | Colombia | Ecuador | Peru,Brazil | Bolivia | Colombia | Ecuador | Peru,https://www.worldfloraonline.org/taxon/wfo-0000679758
Euphorbia leuconeura Boiss,Euphorbia leuconeura Boiss.,3066177,wfo-0000963021,Euphorbia leuconeura Boiss.,,,0,0,none,Africa Western Indian Ocean Madagascar | Africa | Western Indian Ocean | Madagascar | Provided by: | [B].The World Checklist of Vascular Plants (WCVP) | Synonyms | Euphorbia fournieri Rebut | Euphorbia fournieri | Rebut | [A].Euphorbiaceae,Madagascar,https://www.worldfloraonline.org/taxon/wfo-0000963021
Euterpe oleracea Mart.,Euterpe oleracea Mart.,5293398,wfo-0000965687,Euterpe oleracea Mart.,Brazil | Colombia | Ecuador,BR | CO | EC,147,147,medium,Southern America Brazil Brazil North | Southern America | Brazil | Brazil North | Amapí | Parí | Tocantins | Brazil Northeast | Maranh | Goiás | Caribbean Trinidad-Tobago | Caribbean | Trinidad-Tobago | Northern South America French Guiana | Northern South America | French Guiana | Guyana | Suriname | Venezuela | Western South America Colombia | Western South America | Colombia | Ecuador | Provided by: | [C].Brazilian Flora 2020 project - Projeto Flora do Brasil 2020 | [E].The World Checklist of Vascular Plants (WCVP) | Synonyms | Catis martiana O.F.Cook | Catis martiana | O.F.Cook | Euterpe badiocarpa Barb.Rodr. | Euterpe badiocarpa | Barb.Rodr. | Euterpe beardii L.H.Bailey | Euterpe beardii | L.H.Bailey | Euterpe brasiliana Oken | Euterpe brasiliana | Oken | Euterpe cuatrecasana Dugand | Euterpe cuatrecasana | Dugand | Euterpe cuatrecasasiana Dugand | Euterpe cuatrecasasiana | [A].Arecaceae | Other Local Names | Name | Language | Country | Açai | Portuguese,Brazil | United Kingdom | France | Guyana | Suriname | Venezuela | Colombia | Ecuador | Germany | Zambia,https://www.worldfloraonline.org/taxon/wfo-0000965687
Ficus benghalensis L.,Ficus benghalensis L.,5361919,wfo-0000687501,Ficus benghalensis L.,Australia | India | Myanmar | United States of America,AU | IN | MM | US,7,7,very_low,Asia-Tropical Indian Subcontinent Assam | Asia-Tropical | Indian Subcontinent | Assam | Bangladesh | East Himalaya | India | Laccadive Is. | Maldives | Nepal | Pakistan | Sri Lanka | Indo-China Andaman Is. | Indo-China | Andaman Is.,Cameroon | India | Bangladesh | Maldives | Nepal | Pakistan | Sri Lanka,https://www.worldfloraonline.org/taxon/wfo-0000687501
Ficus cyathistipula Warb,Ficus cyathistipula Warb.,7262354,wfo-0000688019,Ficus cyathistipula Warb.,,,0,0,none,Africa East Tropical Africa Kenya | Africa | East Tropical Africa | Kenya | Tanzania | Uganda | Northeast Tropical Africa Sudan | Northeast Tropical Africa | Sudan | South Tropical Africa Angola | South Tropical Africa | Angola | Malawi | Zambia | West Tropical Africa Benin | West Tropical Africa | Benin | Ghana | Guinea | Ivory Coast | Liberia | Togo | West-Central Tropical Africa Burundi | West-Central Tropical Africa | Burundi | Cameroon | Central African Republic | Congo | Gabon | Rwanda | Zaire | Provided by: | [G].The World Checklist of Vascular Plants (WCVP) | Included Subspecies | Ficus cyathistipula subsp. pringsheimiana (Braun & K.Schum.) C.C.Berg | Ficus cyathistipula subsp. pringsheimiana | (Braun & K.Schum.) C.C.Berg | [E].Moraceae | Synonyms | Ficus callescens Hiern | Ficus callescens | Hiern | Ficus nyanzensis Hutch. | Ficus nyanzensis | Hutch. | Ficus rederi Hutch. | Ficus rederi | Ficus rhynchocarpa Warb. ex Mildbr. & Burret | Ficus rhynchocarpa | Warb. ex Mildbr. & Burret,Kenya | Tanzania | Uganda | Sudan | Angola | Malawi | Zambia | Benin | Ghana | Guinea | Ivory Coast | Liberia | Togo | Burundi | Cameroon | Central African Republic | Gabon | Rwanda | Zaire,https://www.worldfloraonline.org/taxon/wfo-0000688019
Ficus elastica Roxb. ex Hornem. 'De la Rouche',Ficus elastica Roxb. ex Hornem.,7835333,wfo-0000688216,Ficus elastica Roxb. ex Hornem.,Brazil | India | Indonesia | Papua New Guinea | Philippines | Spain | Vanuatu,BR | ES | ID | IN | PG | PH | VU,8,8,very_low,Asia-Temperate China China South-Central | Asia-Temperate | China | China South-Central | Asia-Tropical Indian Subcontinent Assam | Asia-Tropical | Indian Subcontinent | Assam | Bangladesh | East Himalaya | Nepal | Indo-China Laos | Indo-China | Laos | Myanmar | Thailand | Vietnam | Malesia Jawa | Malesia | Jawa | Malaya | Sumatera,Cameroon | India | Bangladesh | Nepal | Laos | Myanmar | Thailand | Vietnam | Indonesia | Singapore | Timor-Leste | Malaysia | Brunei | Philippines | Nigeria | Russia,https://www.worldfloraonline.org/taxon/wfo-0000688216
Ficus elastica Roxb. ex Hornem. 'Melani',Ficus elastica Roxb. ex Hornem.,7835333,wfo-0000688216,Ficus elastica Roxb. ex Hornem.,Brazil | India | Indonesia | Papua New Guinea | Philippines | Spain | Vanuatu,BR | ES | ID | IN | PG | PH | VU,8,8,very_low,Asia-Temperate China China South-Central | Asia-Temperate | China | China South-Central | Asia-Tropical Indian Subcontinent Assam | Asia-Tropical | Indian Subcontinent | Assam | Bangladesh | East Himalaya | Nepal | Indo-China Laos | Indo-China | Laos | Myanmar | Thailand | Vietnam | Malesia Jawa | Malesia | Jawa | Malaya | Sumatera,Cameroon | India | Bangladesh | Nepal | Laos | Myanmar | Thailand | Vietnam | Indonesia | Singapore | Timor-Leste | Malaysia | Brunei | Philippines | Nigeria | Russia,https://www.worldfloraonline.org/taxon/wfo-0000688216
Ficus lyrata Warb.,Ficus lyrata Warb.,5361899,wfo-0001084874,Ficus lyrata Warb.,,,0,0,none,Africa West Tropical Africa Benin | Africa | West Tropical Africa | Benin | Ghana | Guinea | Guinea-Bissau | Ivory Coast | Liberia | Nigeria | Sierra Leone | Togo | West-Central Tropical Africa Cameroon | West-Central Tropical Africa | Cameroon | Gabon,Benin | Ghana | Guinea | Guinea-Bissau | Ivory Coast | Liberia | Nigeria | Sierra Leone | Togo | Cameroon | Gabon,https://www.worldfloraonline.org/taxon/wfo-0001084874
Ficus obliqua Forst.,Ficus obliqua G.Forst.,7262513,wfo-0000689487,Ficus obliqua G.Forst.,Australia | Fiji | Papua New Guinea | Tonga | Vanuatu,AU | FJ | PG | TO | VU,85,85,medium,Asia-Tropical Malesia Maluku | Asia-Tropical | Malesia | Maluku | Papuasia Bismarck Archipelago | Papuasia | Bismarck Archipelago | New Guinea | Solomon Is. | Australasia Australia New South Wales | Australasia | Australia | New South Wales | Queensland | Western Australia | Pacific Southwestern Pacific Fiji | Pacific | Southwestern Pacific | Fiji | New Caledonia | Niue | Samoa | Tonga | Vanuatu | Wallis-Futuna Is. | Provided by: | [B].The World Checklist of Vascular Plants (WCVP) | Synonyms | Ficus aphanoneura Warb. | Ficus aphanoneura | Warb. | Ficus backhousei (Miq.) Miq. | Ficus backhousei | (Miq.) Miq. | Ficus booshiana Miq. | Ficus booshiana | Miq. | Ficus boothiana Miq. | Ficus boothiana | Ficus eugenioides (Miq.) F.Muell. ex Miq. | Ficus eugenioides | (Miq.) F.Muell. ex Miq. | Ficus graeffei Warb. | Ficus graeffei | Ficus laevis Desf. | Ficus laevis | Desf. | Ficus tryonii F.M.Bailey | Ficus tryonii | F.M.Bailey | Ficus virginea Banks & Sol. ex Hiern | Ficus virginea | Banks & Sol. ex Hiern | Urostigma backhousei Miq. | Urostigma backhousei | Urostigma eugenioides Miq. | Urostigma eugenioides | Urostigma obliquum Miq. | Urostigma obliquum | [A].Moraceae,Indonesia | Singapore | Timor-Leste | Malaysia | Myanmar | Thailand | Brunei | Philippines | Democratic Republic of the Congo | Papua New Guinea | France | Australia | New Zealand | Solomon Islands | Vanuatu | Fiji | Canada | United States | Niue | Samoa | Tonga,https://www.worldfloraonline.org/taxon/wfo-0000689487
Ficus rubiginosa Desf. ex Vent.,Ficus rubiginosa Desf. ex Vent.,5361929,wfo-0000690111,Ficus rubiginosa Desf. ex Vent.,Australia | United States of America,AU | US,229,229,high,Australasia Australia New South Wales | Australasia | Australia | New South Wales | Queensland,France | Indonesia | Australia | New Zealand | Solomon Islands | Vanuatu | Papua New Guinea | Fiji,https://www.worldfloraonline.org/taxon/wfo-0000690111
Ficus rubiginosa Desf. ex Vent. 'Variegata',Ficus rubiginosa Desf. ex Vent.,5361929,wfo-0000690111,Ficus rubiginosa Desf. ex Vent.,Australia | United States of America,AU | US,229,229,high,Australasia Australia New South Wales | Australasia | Australia | New South Wales | Queensland,France | Indonesia | Australia | New Zealand | Solomon Islands | Vanuatu | Papua New Guinea | Fiji,https://www.worldfloraonline.org/taxon/wfo-0000690111
Flacourtia flavescens Willd.,Flacourtia flavescens Willd.,5331162,wfo-0000925655,Flacourtia indica (Burm.f.) Merr.,,,0,0,none,"Provided by: [ F ]. e-Flora of South Africa | Provided by: [ | e-Flora of South Africa | Source: [ | Afrique et Asie tropicales. | Provided by: [ B ]. Flore d'Afrique Centrale | Flore d'Afrique Centrale | Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia, Africa and Australasia. | Provided by: [ H ]. Plants of Nepal | Plants of Nepal | Uses | Medicine (root, bark, fruit), Food (fruit). | Flora of North America @ efloras.org | General Information | Trees or shrubs, | 3-5(-10) m. | Leaves: | petiole 1-2 cm; blade red to pink when immature, ovate to orbiculate, 8-12 cm, becoming coriaceous, margins glandular-serrate or -crenate, surfaces glabrous or sparsely to densely pubescent. | Peduncles | 5-10 mm. | Pedicels | Flowers: | bisexual ones sometimes on some branches of otherwise pistillate plants; sepals (persistent) slightly connate, greenish, ovate-orbiculate, 1.5-2.5 mm, apex acute to rounded, surfaces pubescent; filaments pubescent at base; ovary ovoid; styles spreading. | Drupes | reddish to purple or red-black at maturity, globose or ellipsoid, 1.8-2.5 cm. | Seeds | ca. 4-10, obovoid, 8-10 mm; testa crustaceous, rugose. | = 22 (India, cult. Cuba), 44 (Africa). | Flore du Gabon | Habitat | Forêts claires, galeries forestières, savanes boisées. | Morphology | Arbuste' à arbre atteignant 15(20) m de haut, généralement épineux, parfois à port buissonnant; rameaux brunâtres à grisâtres, lenticellés, pubescents à glabres; épines parfois ramifiées sur le tronc.' Feuilles' à pétiole de 0,3-2 cm de long, pubescent à glabre; limbe ovale, elliptique, obovale, subrhombique ou suborbiculaire, cunéé à arrondi à la base, arrondi, obtus, aigu ou courtement acuminé au sommet, de 4-16 cm de long et 2-8 cm de large, crénelé-denté à subentier, membraneux à subcoriace, pubescent à glabre sur les 2 faces; nervures secondaires 4-7 paires; nervures tertiaires disposées en réseau, proéminentes sur les 2 faces.' Fleurs' ♂ en racèmes axillaires de 0,5-2 cm de long; bractées ovales, de 1 mm de long, pubescentes; pédicelle de 2-3 mm de long, pubescent; sépales suborbiculaires, de 1,5 mm de long et de large, ciliolulés; étamines à filet de 2-2,5 mm de long, glabre; anthères de 0,5 mm de long, glabres; glandes du réceptacle de 0,5 mm de diam., glabres.' Fleurs' ♀ en racèmes axillaires ou solitaires; pédicelle de 2-3 mm de long, pubescent; sépales suborbiculaires, de 1,5-2,5 mm de long et de large, ciliolulés; ovaire à 4-8 placentas; styles 4-8, connés à la base puis divergents sur 0,5-1,5 mm de long. Drupes globuleuses, de 2-2,5 cm de diam. à l'état frais, glabres.'Graines ellipsoïdes, de 8-10 mm de long et 4-5 mm de large. | Distribution | Ecology | W, C, E Nepal: 200-800 m. | Flora of Pakistan | Small trees, up to 6 m tall, dioecious. Spines axillary. Younger branches pubescent. Leaves oval or ovate to almost orbicular; sizes variable, up to 6 cm long; surface glabrous to pubescent; veins prominent, pubescent; margin crenate to serrate; apex acute to obtuse. Male flowers in short branched clustered racemes; branches villous. Calyx 4-5, 1- 1.5 mm long, pubescent. Stamens numerous; filaments long; anthers short, oblong, opening by slits. Female flowers on short branches, solitary or in pairs; branches and pedicels villous. Sepals 4-5, 1-1.5 mm long villous. Petals lacking. Ovary on a disc, glabrous; stigmas 5-10. Fruit globose, 6-7 mm in diameter. Seeds obovoid, 2-2.5 mm long . | Tree or shrub, 1.5-16 m high. Bark smooth, stippled white (teste De Winter 7748) or rough and yellowish or orange-brown, occasionally silvery on young branches (Wild I.e.). Branches with or without axillary straight spines, sometimes with branching spines up to 12 cm long on the trunk near the base or with very spiny coppice shoots, glabrous or pubescent. Leaf-blade elliptic, ovate or obovate, 5-9.5 cm long, 3.5-6 cm wide, apex acuminate, acute or rounded, base cuneate to rounded, margins crenate, crenate-serrate or entire, veins 4-6 pairs, more prominent on lower surface, chartaceous, glabrous to densely pubescent; petiole 4-10 mm long, channelled above, glabrous or pubescent. Flowers dioecious or bisexual, greenish. Calyx segments or sepals often unequal, narrowly to broadly ovate, 2-3 mm long, 1.5-3 mm wide, ciliate. Male flowers: Stamens very numerous, surrounded by disc of fleshy free glands; filaments terete, 2.2 mm long. Female flowers: ovary globose c. 3 mm diam., surrounded by an annular disc; styles 4-8, channelled above; stigmas retuse. Bisexual flowers as female flowers, but with up to 10 stamens. Fruit red, globose, up to 3 cm diam., fleshy with persistent styles. Seeds c. 10, obovoid, subcompressed, c. 7 mm diam.; testa beige, hard, rough. | Occurring in scrub, woodland and forest, sometimes riverine. | In the Transvaal. Also found in south and eastern tropical Africa, Madagascar, south-east Asia, Polynesia and Malaysia. | Flora Zambesiaca - descriptions | Shrub or small tree up to 10 m. tall, with the bark rough and yellowish or orange-brown, occasionally silvery on young branches; axillary straight spines present or absent on the branches, sometimes with fearsome branching spines up to 12 cm. long on the trunk near the base or with very spiny coppice shoots. All the vegetative parts except the older branches vary from quite glabrous to densely pubescent. Leaf-lamina 2.5–12 x 1.3–7.5 cm., very variable, membranous or coriaceous, suborbicular, ovate, elliptic, obovate or ovate-elliptic, apex rounded, obtusely or rarely obtusely acuminate at the apex, base usually cuneate, occasionally rounded, margins crenate, crenate-serrulate or subentire, nerves in 4–7 pairs, slightly prominent above and below, venation laxly reticulate; petiole up to 1.3 cm. long. Flowers dioecious or occasionally bisexual in short axillary racemes or occasionally solitary in the axils; peduncles very short; rhachis up to 2 cm. long, ± pubescent; pedicels up to 1 cm. long, ± pubescent, with caducous, deltoid, pubescent bracts at the base. Sepals 1.5–2.5 x 1.5–2.5 mm., imbricate, united for about 1 mm. at the base, broadly ovate, acute or rounded at the apex, pubescent on both sides. Male flower with very numerous stamens on filaments c. 2.5 mm. long, often with lobulate, glabrous glands forming a disk around the outer stamens. Female flowers with a lobulate, fleshy, glabrous disk clasping the base of the ovary; ovary ovoid, glabrous; styles 4–8, 0.5–1.5 mm. long, spreading, longitudinally grooved above; stigmas truncate. Bisexual flowers similar to the female but with c. S stamens. Fruit reddish or reddish-black when ripe, up to 2.5 cm. in diam., fleshy, globose, becoming sulcate when dry, glabrous, with persistent styles, up to 10-seeded or thereabouts. Seeds c. 8 x 7 mm., obovoid and somewhat flattened; testa pale brown, rugose. All the vegetative parts except the older branches vary from quite glabrous to densely pubescent. Leaf-lamina 2.5–12 x 1.3–7.5 cm., very variable, membranous or coriaceous, suborbicular, ovate, elliptic, obovate or ovate-elliptic, apex rounded, obtusely or rarely obtusely acuminate at the apex, base usually cuneate, occasionally rounded, margins crenate, crenate-serrulate or subentire, nerves in 4–7 pairs, slightly prominent above and below, venation laxly reticulate; petiole up to 1.3 cm. long. Flowers dioecious or occasionally bisexual in short axillary racemes or occasionally solitary in the axils; peduncles very short; rhachis up to 2 cm. long, ± pubescent; pedicels up to 1 cm. long, ± pubescent, with caducous, deltoid, pubescent bracts at the base. Sepals 1.5–2.5 x 1.5–2.5 mm., imbricate, united for about 1 mm. at the base, broadly ovate, acute or rounded at the apex, pubescent on both sides. Male flower with very numerous stamens on filaments c. 2.5 mm. long, often with lobulate, glabrous glands forming a disk around the outer stamens. Female flowers with a lobulate, fleshy, glabrous disk clasping the base of the ovary; ovary ovoid, glabrous; styles 4–8, 0.5–1.5 mm. long, spreading, longitudinally grooved above; stigmas truncate. Bisexual flowers similar to the female but with c. S stamens. Fruit reddish or reddish-black when ripe, up to 2.5 cm. in diam., fleshy, globose, becoming sulcate when dry, glabrous, with persistent styles, up to 10-seeded or thereabouts. Seeds c. 8 x 7 mm., obovoid and somewhat flattened; testa pale brown, rugose. | Plants Of the World Online Portal - FTEA | Sepals broadly ovate, apex acute to rounded, pubescent on both sides, 1.5–2–5 mm. long and broad. Male flowers in axillary racemes 0.5–2 cm. long; pedicels slender, ± pubescent, up to 1 cm. long, the basal bracts minute and caducous. Flowers dioecious, or occasionally bisexual (1 or several branches of a ♀ specimen with perfect flowers, which, however, bear fewer stamens than in the ♂ ones). Leaves also variable in shape and size; blade ovate or elliptic, sometimes suborbicular or obovate, apex obtusely acuminate, obtuse or rounded, base cuneate to rounded, membranous to almost coriaceous, serrulate-crenate, or more rarely subentire, 2.5–12(–16) cm. long, 2–8 cm. broad; lateral nerves 4–7 pairs, slightly prominent on both faces, as is the ± dense reticulation; petiole up to 2 cm. long. Vegetative parts varying from glabrous to densely pubescent. Shrub or tree, generally spiny, up to 10 m. tall; bark rough; spines of the trunk sometimes branched, up to 12 cm. long. Disk lobulate. Filaments 2–2.5 mm. long; anthers 0.5 mm. long. Disk lobulate, clasping the base of the ovoid ovary. Female flowers in short racemes or solitary; pedicels up to 5 mm. Fruit globular, reddish to reddish black when ripe, fleshy, up to 2.5 cm. across, with persistent styles, up to 10-seeded. Styles 4–8, central, connate at the base, spreading, up to 1.5 mm. long; stigmas truncate. Fig. 20. Seeds 8–10 mm. long, 4–7 mm. broad; testa rugose, pale brown. Male flowers in axillary racemes 0.5–2 cm. long; pedicels slender, ± pubescent, up to 1 cm. long, the basal bracts minute and caducous. Flowers dioecious, or occasionally bisexual (1 or several branches of a ♀ specimen with perfect flowers, which, however, bear fewer stamens than in the ♂ ones). Leaves also variable in shape and size; blade ovate or elliptic, sometimes suborbicular or obovate, apex obtusely acuminate, obtuse or rounded, base cuneate to rounded, membranous to almost coriaceous, serrulate-crenate, or more rarely subentire, 2.5–12(–16) cm. long, 2–8 cm. broad; lateral nerves 4–7 pairs, slightly prominent on both faces, as is the ± dense reticulation; petiole up to 2 cm. long. Vegetative parts varying from glabrous to densely pubescent. Shrub or tree, generally spiny, up to 10 m. tall; bark rough; spines of the trunk sometimes branched, up to 12 cm. long. Disk lobulate. Filaments 2–2.5 mm. long; anthers 0.5 mm. long. Disk lobulate, clasping the base of the ovoid ovary. Female flowers in short racemes or solitary; pedicels up to 5 mm. Fruit globular, reddish to reddish black when ripe, fleshy, up to 2.5 cm. across, with persistent styles, up to 10-seeded. Styles 4–8, central, connate at the base, spreading, up to 1.5 mm. long; stigmas truncate. Fig. 20. Seeds 8–10 mm. long, 4–7 mm. broad; testa rugose, pale brown. | Flora of China @ efloras.org | Shrubs or small trees, 2-4 m tall, deciduous; bark gray-yellow, fissured, flaky; old branches usually not spiny; young branches with axillary, simple spines; branchlets puberulous or subglabrous. Petiole red, short, 3-5 mm, puberulous; leaf blade greenish abaxially, deep green adaxially, rose red when young, obovate to oblong-obovate, 2-4 × 1.5-3 cm, thickly papery, abaxially glabrous or sparsely pubescent, hairs spreading and short, adaxially glabrous, midvein raised abaxially, flat adaxially, lateral veins 5-7 pairs, reticulate veins conspicuous, base mostly acute to obtuse, margin serrulate above middle, apex rounded, sometimes retuse. Inflorescences axillary or terminating short lateral twigs, racemose, short; rachis 0.5-2 cm, puberulous. Pedicels 3-5 mm, puberulous, hairs spreading. Sepals 5 or 6, ovate, ca. 1.5 mm, outside glabrous or with a few scattered short hairs, inside sparsely to densely pubescent, margin white ciliate in dried material, apex obtuse. Staminate flowers: stamen filaments 2-2.5 mm, pubescent or less often glabrous. Pistillate flowers: ovary globose, placentas 5 or 6; styles 5 or 6, united only at base, radiating, 1-2 mm, slender. Fruit dull to blackish red, globose, 8-10 mm in diam., longitudinally 5- or 6-angled, styles persistent. Seeds 5 or 6. Fl. Jan-Mar, fr. Mar-Jul. | Distribution Map | var google = new OpenLayers.Projection(""EPSG:3857""); var wgs84 = new OpenLayers.Projection(""EPSG:4326""); $(document).ready(function() { var map; var originalExtent = new OpenLayers.Bounds(-19747616,-4139717,15015757,4425554); OpenLayers.Map.prototype.zoomToMaxExtent = function() { this.zoomToExtent(originalExtent); }; OpenLayers.ImgPath = ""/css/images/OpenLayers/""; var map = new OpenLayers.Map('map', { controls : [new OpenLayers.Control.Navigation({zoomWheelEnabled : false}), new OpenLayers.Control.PanZoomBar({zoomWorldIcon: true})], units: ""m"", numZoomLevels: 5, projection : new OpenLayers.Projection(""EPSG:3857""), maxResolution: 39135.758475, maxExtent: new OpenLayers.Bounds(-20037500, -20037500, 20037500, 20037500), }); var base_layer = new OpenLayers.Layer.TMS( 'MapBox Layer', [ ""http://www.worldfloraonline.org/tiles/"" ], { 'layername': 'eMonocot', 'type': 'png', 'isBaseLayer' : true, 'wrapDateLine': true, 'serverResolutions' : [ 156543.0339, 78271.51695, 39135.758475, 19567.8792375, 9783.93961875, 4891.969809375, 2445.9849046875 ]} ); var layer_style = OpenLayers.Util.extend({}, OpenLayers.Feature.Vector.style['default']); layer_style.fillOpacity = 0; layer_style.graphicOpacity = 1; layer_style.strokeColor = ""#FE3A7F""; layer_style.strokeDashstyle = ""dotted""; //layer_style.fillColor = ""blue""; var vector_layer = new OpenLayers.Layer.Vector(""Vector Layer"", {style: layer_style}); map.addLayers([base_layer,vector_layer]); //create an overview map control with the default options var overview = new OpenLayers.Control.OverviewMap({ maximized: true, maximizeTitle: 'Show the overview map', minimizeTitle: 'Hide the overview map', mapOptions: { minRatio: 1.0, projection : new OpenLayers.Projection(""EPSG:3857""), maxResolution: 156543.0339 } }); map.addControl(overview); var level3_native = new OpenLayers.Layer.WMS(""level3_native"",""/geoserver/wms"", { layers : ""tdwg:level3"", transparent : ""true"", format : ""image/png"", tiled: ""yes"", tilesorigin: [map.maxExtent.left, map.maxExtent.bottom] }, { isBaseLayer : false, displayInLayerSwitcher : false, wrapDateLine: true } ); level3_native.params.STYLES = ""eMonocot3_native""; level3_native.params.FEATUREID = ""39,75,303,154,54,222,262,316,336,197,8,81,215,171,104,347,280,58,63,44,369,255,185,148,191,367,338,214,167,192,137,22,222,76,301,323,306,368,213,307,28,176""; map.addLayers([ level3_native ]); var wfsUrl = location.protocol + '//' + location.host + '/geoserver/wfs?' + decodeURIComponent( $.param({ ""request"": ""GetFeature"", ""version"": ""1.1.0"", ""typeName"": ""tdwg:level3"", ""outputFormat"": ""JSON"", ""FEATUREID"": ""39,75,303,154,54,222,262,316,336,197,8,81,215,171,104,347,280,58,63,44,369,255,185,148,191,367,338,214,167,192,137,22,222,76,301,323,306,368,213,307,28,176"" }) ); $.ajax({ url: wfsUrl, beforeSend: function(xhr){ if (xhr.overrideMimeType) { xhr.overrideMimeType(""application/json""); } }, dataType: 'json', success: function (result) { jsonObj = new OpenLayers.Format.GeoJSON(); jsonObj = jsonObj.read(result); var geomCollection = new OpenLayers.Geometry.Collection(); $.each( jsonObj, function( key, value ) { geomCollection.addComponent(value.geometry); }); geomCollection.calculateBounds(); map.zoomToExtent(geomCollection.bounds); }, error: function (data) { console.log(data); } }); var level3_introduced = new OpenLayers.Layer.WMS(""level3_introduced"",""/geoserver/wms"", { layers : ""tdwg:level3"", transparent : ""true"", format : ""image/png"", tiled: ""yes"", tilesorigin: [map.maxExtent.left, map.maxExtent.bottom] }, { isBaseLayer : false, displayInLayerSwitcher : false, wrapDateLine: true } ); level3_introduced.params.STYLES = ""eMonocot3_introduced""; level3_introduced.params.FEATUREID = ""182,268,94,146,129,56,26,328,172,14,218,271,287""; map.addLayers([ level3_introduced ]); var wfsUrl = location.protocol + '//' + location.host + '/geoserver/wfs?' + decodeURIComponent( $.param({ ""request"": ""GetFeature"", ""version"": ""1.1.0"", ""typeName"": ""tdwg:level3"", ""outputFormat"": ""JSON"", ""FEATUREID"": ""182,268,94,146,129,56,26,328,172,14,218,271,287"" }) ); $.ajax({ url: wfsUrl, beforeSend: function(xhr){ if (xhr.overrideMimeType) { xhr.overrideMimeType(""application/json""); } }, dataType: 'json', success: function (result) { jsonObj = new OpenLayers.Format.GeoJSON(); jsonObj = jsonObj.read(result); var geomCollection = new OpenLayers.Geometry.Collection(); $.each( jsonObj, function( key, value ) { geomCollection.addComponent(value.geometry); }); geomCollection.calculateBounds(); map.zoomToExtent(geomCollection.bounds); }, error: function (data) { console.log(data); } }); map.zoomToExtent(originalExtent); }); | Native distribution | Introduced distribution | Found in | Africa East Tropical Africa Kenya | Africa | East Tropical Africa | Kenya | Tanzania | Uganda | Northeast Tropical Africa Ethiopia | Northeast Tropical Africa | Ethiopia | Somalia | Sudan | South Tropical Africa Malawi | South Tropical Africa | Malawi | Mozambique | Zambia | Zimbabwe | Southern Africa Botswana | Southern Africa | Botswana | Cape Provinces | KwaZulu-Natal | Namibia | Northern Provinces | West-Central Tropical Africa Burundi | West-Central Tropical Africa | Burundi | Congo | Rwanda | Zaire | Western Indian Ocean Aldabra | Western Indian Ocean | Aldabra | Comoros | Madagascar | Asia-Temperate China China Southeast | Asia-Temperate | China | China Southeast | Hainan | Asia-Tropical Indian Subcontinent Assam | Asia-Tropical | Indian Subcontinent | Assam | Bangladesh | India | Laccadive Is. | Nepal | Pakistan | Sri Lanka | Indo-China Cambodia | Indo-China | Cambodia | Laos | Myanmar | Thailand | Vietnam | Malesia Jawa | Malesia | Jawa | Lesser Sunda Is. | Malaya | Philippines | Sulawesi",Kenya | Tanzania | Uganda | Ethiopia | Somalia | Sudan | Malawi | Mozambique | Zambia | Zimbabwe | Botswana | Lesotho | Namibia | Eswatini | South Africa | Burundi | Rwanda | Zaire | Seychelles | Comoros | Madagascar | People's Republic of China | Cameroon | India | Bangladesh | Nepal | Pakistan | Sri Lanka | Cambodia | Laos | Myanmar | Thailand | Vietnam | Indonesia | Singapore | Timor-Leste | Malaysia | Brunei | Philippines | Nigeria | Russia | Netherlands,https://www.worldfloraonline.org/taxon/wfo-0000925655
Globba schomburgkii Hook.f.,Globba schomburgkii Hook.f.,2757889,wfo-0000430660,Globba schomburgkii Hook.f.,,,0,0,none,,,https://www.worldfloraonline.org/taxon/wfo-0000430660
