input_name,gbif_matchType,gbif_confidence,gbif_canonicalName,gbif_genus_species,gbif_scientificName,gbif_usageKey,gbif_synonyms,gbif_synonym_count,gbif_english_name,gbif_english_names,gbif_english_name_count
Acacia collinsii Saff.,EXACT,100,Acacia collinsii,Acacia collinsii,Acacia collinsii Saff.,2980971,,0,bull horn acacia,bull horn acacia,1
Acalypha hispida Burm.f.,EXACT,100,Acalypha hispida,Acalypha hispida,Acalypha hispida Burm.f.,3056375,Acalypha densiflora Blume | Acalypha hispida var. sanderi (N.E.Br.) J.J.Sm. | Acalypha sanderi K.Schum. | Acalypha sanderi N.E.Br. | Acalypha sanderi subsp. alba Sander,5,chenilleplant,Moukiana mkomba | Philippine-medusa | Red-Hot Cat's Tail | bristly copperleaf | chenille plant | chenilleplant,6
Acorus gramineus Ait. 'Variegatus',EXACT,94,Acorus gramineus,Acorus gramineus,Acorus gramineus Aiton,2873807,Acorus gramineus subsp. gramineus | Acorus gramineus subsp. japonica M.Hotta | Acorus gramineus subsp. macrospadiceus Yamam. | Acorus gramineus subsp. pusillus (Siebold) Engl. | Acorus gramineus var. flavomarginatus T.S.Liu | Acorus gramineus var. japonicus M.Hotta | Acorus gramineus var. macrospadiceus Yamam. | Acorus gramineus var. pusillus (Siebold) Engl. | Acorus humilis Salisb. | Acorus macrospadiceus (Yamam.) F.N.Wei & Y.K.Li | Acorus pusillus Siebold | Acorus pusillus Siebold ex Miq. | Acorus tatarinowii var. flavomarginatus T.S.Liu | Acorus xiangyeus Z.Y.Zhu | Acorus ziangyeus Z.Y.Zhu,15,Slender Sweet-flag,Grass-leaf sweet flag | Grassleaf Sweet Flag | Slender Sweet-flag | grass-leaf sweet-flag | jin qian pu,5
Adenanthera microsperma Teijsm. et Binn.,EXACT,100,Adenanthera microsperma,Adenanthera microsperma,Adenanthera microsperma Teijsm. & Binn.,2951851,Adenanthera pavonina subsp. microsperma (Teijsm. & Binnend.) Nielsen. | Adenanthera pavonina var. microsperma (Teijsm. & Binn.) I.C.Nielsen | Adenanthera tamarindifolia Pierre,3,phai,bon see | chreh phnôm | phai,3
Aglaonema costatum N.E.Br.,EXACT,100,Aglaonema costatum,Aglaonema costatum,Aglaonema costatum N.E.Br.,2866357,Aglaonema costatum f. concolor Nicolson | Aglaonema costatum f. costatum | Aglaonema costatum f. foxii (Engl.) Jervis | Aglaonema costatum f. immaculatum (Ridl.) Nicolson | Aglaonema costatum f. virescens (Ridl. ex Engl.) Nicolson | Aglaonema costatum var. foxii Engl. | Aglaonema costatum var. immaculatum (Ridl.) Nicolson | Aglaonema costatum var. immaculatum Ridl. | Aglaonema costatum var. lineatum Engl. | Aglaonema costatum var. maculatum Engl. | Aglaonema costatum var. virescens Ridl. | Aglaonema costatum var. virescens Ridl. ex Engl.,12,Fox's aglaonema,Chinese evergreen | Fox's aglaonema | spotted evergreen,3
Aglaonema modestum Schott ex Engl.,EXACT,100,Aglaonema modestum,Aglaonema modestum,Aglaonema modestum Schott ex Engl.,2866488,Aglaonema acutispathum N.E.Br. | Aglaonema costatum subsp. viride Engl. | Aglaonema costatum var. viride Engl. | Aglaonema laoticum Gagnep. | Aglaonema modestum Schott,5,Japanese-leaf,Chinese evergreen | Japanese-leaf,2
Aglaonema nitidum (Jack) Kunth 'Silver King',EXACT,96,Aglaonema nitidum,Aglaonema nitidum,Aglaonema nitidum (Jack) Kunth,2866438,Aglaonema helferi Hook.f. | Aglaonema integrifolium (Link) Schott | Aglaonema nitidum f. cinereum Jervis | Aglaonema nitidum f. curtisiae (N.E.Br.) Nicolson | Aglaonema nitidum f. curtisii (N.E.Br.) Nicolson | Aglaonema nitidum var. nitidum | Aglaonema oblanceolatum Alderw. | Aglaonema oblanceolatum f. maximum Alderw. | Aglaonema oblongifolium Schott | Aglaonema oblongifolium var. curtisiae N.E.Br. | Aglaonema oblongifolium var. curtisii N.E.Br. | Aglaonema princeps Kunth,12,aglaonema aroid,aglaonema aroid,1
Allamanda schottii Pohl.,EXACT,100,Allamanda schottii,Allamanda schottii,Allamanda schottii Pohl,3169838,Allamanda brasiliensis Schott | Allamanda brasiliensis Schott ex Pohl | Allamanda cathartica Schrad. | Allamanda cathartica var. schottii (Pohl) L.H.Bailey & Raffill | Allamanda magnifica Williams | Allamanda neriifolia Hook.,6,Bush Allamanda,Bush Allamanda,1
Alpinia purpurata (Viell.) Schum.,EXACT,100,Alpinia purpurata,Alpinia purpurata,Alpinia purpurata (Vieill.) K.Schum.,5301960,Alpinia grandis K.Schum. | Alpinia purpurata subsp. albobracteata K.Schum. | Alpinia purpurata subsp. anomala Gagnep. | Alpinia purpurata subsp. grandis (K.Schum.) K.Schum. | Alpinia purpurata var. albobracteata K.Schum. | Alpinia purpurata var. anomala Gagnep. | Alpinia purpurata var. grandis (K.Schum.) K.Schum.,7,Red Ginger,"Opuhi | Red Ginger | Sari sakai viro, Sari longoza | Sari tsingizo masera | red-ginger",5
Alpinia vittata Bull.,EXACT,100,Alpinia vittata,Alpinia vittata,Alpinia vittata W.Bull,5302160,Alpinia albo-lineata | Alpinia sanderae Sander | Alpinia tricolor Sander,3,variegate-ginger,variegate-ginger,1
