input_name,gbif_matchType,gbif_confidence,gbif_canonicalName,gbif_genus_species,gbif_scientificName,gbif_usageKey,gbif_synonyms,gbif_synonym_count,gbif_english_name,gbif_english_names,gbif_english_name_count
Musa x paradisiaca L. 'Aple',EXACT,96,Musa paradisiaca,Musa paradisiaca,Musa × paradisiaca L.,2762752,Musa acuminata x M. balbisiana | Musa balbisiana var. vittata (G.W.Ackermann ex Rodigas) M.R.Almeida | Musa ornata var. normalis Kuntze | Musa paradisiaca subsp. sapientum (L.) Kuntze ex K.Schum. | Musa paradisiaca var. regia (Baker) K.Schum. | Musa paradisiaca var. sapientum (L.) Kuntze | Musa ×acutibracteata M.Hotta | Musa ×alphurica Miq. | Musa ×aphurica Rumph. | Musa ×aphurica Rumph. ex Sagot | Musa ×arakanensis F.W.Ripley | Musa ×arakanensis F.W.Ripley ex Blechynden | Musa ×bacoba Rottb. | Musa ×berteroi Colla | Musa ×bidigitalis De Wild. | Musa ×carolinae Sterler | Musa ×champa Baker | Musa ×chapara Perr. | Musa ×chiliocarpa Backer,19,banana,"French plantain | Hontsi | Meika, Meià | Trovi | banana",5
Musa x paradisiaca L. 'Kreol',EXACT,96,Musa paradisiaca,Musa paradisiaca,Musa × paradisiaca L.,2762752,Musa acuminata x M. balbisiana | Musa balbisiana var. vittata (G.W.Ackermann ex Rodigas) M.R.Almeida | Musa ornata var. normalis Kuntze | Musa paradisiaca subsp. sapientum (L.) Kuntze ex K.Schum. | Musa paradisiaca var. regia (Baker) K.Schum. | Musa paradisiaca var. sapientum (L.) Kuntze | Musa ×acutibracteata M.Hotta | Musa ×alphurica Miq. | Musa ×aphurica Rumph. | Musa ×aphurica Rumph. ex Sagot | Musa ×arakanensis F.W.Ripley | Musa ×arakanensis F.W.Ripley ex Blechynden | Musa ×bacoba Rottb. | Musa ×berteroi Colla | Musa ×bidigitalis De Wild. | Musa ×carolinae Sterler | Musa ×champa Baker | Musa ×chapara Perr. | Musa ×chiliocarpa Backer,19,banana,"French plantain | Hontsi | Meika, Meià | Trovi | banana",5
Musa x paradisiaca L. 'Pakovan',EXACT,96,Musa paradisiaca,Musa paradisiaca,Musa × paradisiaca L.,2762752,Musa acuminata x M. balbisiana | Musa balbisiana var. vittata (G.W.Ackermann ex Rodigas) M.R.Almeida | Musa ornata var. normalis Kuntze | Musa paradisiaca subsp. sapientum (L.) Kuntze ex K.Schum. | Musa paradisiaca var. regia (Baker) K.Schum. | Musa paradisiaca var. sapientum (L.) Kuntze | Musa ×acutibracteata M.Hotta | Musa ×alphurica Miq. | Musa ×aphurica Rumph. | Musa ×aphurica Rumph. ex Sagot | Musa ×arakanensis F.W.Ripley | Musa ×arakanensis F.W.Ripley ex Blechynden | Musa ×bacoba Rottb. | Musa ×berteroi Colla | Musa ×bidigitalis De Wild. | Musa ×carolinae Sterler | Musa ×champa Baker | Musa ×chapara Perr. | Musa ×chiliocarpa Backer,19,banana,"French plantain | Hontsi | Meika, Meià | Trovi | banana",5
Musa x paradisiaca L. 'Prata Ana',EXACT,96,Musa paradisiaca,Musa paradisiaca,Musa × paradisiaca L.,2762752,Musa acuminata x M. balbisiana | Musa balbisiana var. vittata (G.W.Ackermann ex Rodigas) M.R.Almeida | Musa ornata var. normalis Kuntze | Musa paradisiaca subsp. sapientum (L.) Kuntze ex K.Schum. | Musa paradisiaca var. regia (Baker) K.Schum. | Musa paradisiaca var. sapientum (L.) Kuntze | Musa ×acutibracteata M.Hotta | Musa ×alphurica Miq. | Musa ×aphurica Rumph. | Musa ×aphurica Rumph. ex Sagot | Musa ×arakanensis F.W.Ripley | Musa ×arakanensis F.W.Ripley ex Blechynden | Musa ×bacoba Rottb. | Musa ×berteroi Colla | Musa ×bidigitalis De Wild. | Musa ×carolinae Sterler | Musa ×champa Baker | Musa ×chapara Perr. | Musa ×chiliocarpa Backer,19,banana,"French plantain | Hontsi | Meika, Meià | Trovi | banana",5
Musa x paradisiaca L. 'Pray',EXACT,96,Musa paradisiaca,Musa paradisiaca,Musa × paradisiaca L.,2762752,Musa acuminata x M. balbisiana | Musa balbisiana var. vittata (G.W.Ackermann ex Rodigas) M.R.Almeida | Musa ornata var. normalis Kuntze | Musa paradisiaca subsp. sapientum (L.) Kuntze ex K.Schum. | Musa paradisiaca var. regia (Baker) K.Schum. | Musa paradisiaca var. sapientum (L.) Kuntze | Musa ×acutibracteata M.Hotta | Musa ×alphurica Miq. | Musa ×aphurica Rumph. | Musa ×aphurica Rumph. ex Sagot | Musa ×arakanensis F.W.Ripley | Musa ×arakanensis F.W.Ripley ex Blechynden | Musa ×bacoba Rottb. | Musa ×berteroi Colla | Musa ×bidigitalis De Wild. | Musa ×carolinae Sterler | Musa ×champa Baker | Musa ×chapara Perr. | Musa ×chiliocarpa Backer,19,banana,"French plantain | Hontsi | Meika, Meià | Trovi | banana",5
Musa x paradisiaca L. 'Red',EXACT,96,Musa paradisiaca,Musa paradisiaca,Musa × paradisiaca L.,2762752,Musa acuminata x M. balbisiana | Musa balbisiana var. vittata (G.W.Ackermann ex Rodigas) M.R.Almeida | Musa ornata var. normalis Kuntze | Musa paradisiaca subsp. sapientum (L.) Kuntze ex K.Schum. | Musa paradisiaca var. regia (Baker) K.Schum. | Musa paradisiaca var. sapientum (L.) Kuntze | Musa ×acutibracteata M.Hotta | Musa ×alphurica Miq. | Musa ×aphurica Rumph. | Musa ×aphurica Rumph. ex Sagot | Musa ×arakanensis F.W.Ripley | Musa ×arakanensis F.W.Ripley ex Blechynden | Musa ×bacoba Rottb. | Musa ×berteroi Colla | Musa ×bidigitalis De Wild. | Musa ×carolinae Sterler | Musa ×champa Baker | Musa ×chapara Perr. | Musa ×chiliocarpa Backer,19,banana,"French plantain | Hontsi | Meika, Meià | Trovi | banana",5
Musa x paradisiaca L. ssp. seminifera Bak.,EXACT,100,Musa paradisiaca seminifera,Musa paradisiaca,Musa paradisiaca subsp. seminifera (Lour.) Baker,8159796,,0,,,0
Musa x paradisiaca L. 'Valerie',EXACT,96,Musa paradisiaca,Musa paradisiaca,Musa × paradisiaca L.,2762752,Musa acuminata x M. balbisiana | Musa balbisiana var. vittata (G.W.Ackermann ex Rodigas) M.R.Almeida | Musa ornata var. normalis Kuntze | Musa paradisiaca subsp. sapientum (L.) Kuntze ex K.Schum. | Musa paradisiaca var. regia (Baker) K.Schum. | Musa paradisiaca var. sapientum (L.) Kuntze | Musa ×acutibracteata M.Hotta | Musa ×alphurica Miq. | Musa ×aphurica Rumph. | Musa ×aphurica Rumph. ex Sagot | Musa ×arakanensis F.W.Ripley | Musa ×arakanensis F.W.Ripley ex Blechynden | Musa ×bacoba Rottb. | Musa ×berteroi Colla | Musa ×bidigitalis De Wild. | Musa ×carolinae Sterler | Musa ×champa Baker | Musa ×chapara Perr. | Musa ×chiliocarpa Backer,19,banana,"French plantain | Hontsi | Meika, Meià | Trovi | banana",5
Nautilocalyx lynchii Hook.f.,EXACT,88,Nautilocalyx lynchii,Nautilocalyx lynchii,Nautilocalyx lynchii (Hook.fil.) Sprague,3820178,,0,,,0
Neptunia plena (L.) Benth.,EXACT,100,Neptunia plena,Neptunia plena,Neptunia plena (L.) Benth.,5353568,Neptunia plena f. lumbricoides Fassett | Neptunia polyphylla (DC.) Benth. | Neptunia surinamensis Steud.,3,Waterthistle,"Dead and Awake | Ponpon jòn, Ponpon ma, Akasya jòn | Water Dead And Awake | Water Dead-and-Awake | Waterthistle | water sensitive",6
Oxalis triangularis A. St.-Hil. var. purpurea,HIGHERRANK,100,Oxalis triangularis,Oxalis triangularis,Oxalis triangularis A.St.-Hil.,7156971,Oxalis triangularis var. lepida Progel,1,Wood Sorrel,Wood Sorrel | azedinha,2
Pachira affinis Decne.,EXACT,100,Pachira affinis,Pachira affinis,Pachira affinis (Mart.) Decne.,4073166,,0,,,0
Pachira aquatica Aubl.,EXACT,100,Pachira aquatica,Pachira aquatica,Pachira aquatica Aubl.,3152235,Pachira aquatica var. aquatica | Pachira aquatica var. occidentalis Cuatrec. | Pachira aquatica var. surinamensis Decne. | Pachira carolinea Dum.Cours. | Pachira grandiflora Tussac | Pachira longiflora Hook. | Pachira longifolia Hook. | Pachira macrocarpa (Cham. & Schltdl.) Walp. | Pachira pustulifera Pittier | Pachira villosula Pittier | Pachira villulosa Pittier,11,Guiana-Chestnut,"Guiana-Chestnut | Hazo be | Malabar chestnut, French peanut, Guiana chestnut, Provision tree, Saba nut | Malabar-chestnut",4
Palisota schweinfurthii C.B.Clarke,EXACT,100,Palisota schweinfurthii,Palisota schweinfurthii,Palisota schweinfurthii C.B.Clarke,2763810,,0,,,0
Passiflora citrina J.M.Macdougal,EXACT,88,Passiflora citrina,Passiflora citrina,Passiflora citrina J.M.Mac Dougal,3587717,,0,,,0
Passiflora coriacea Juss.,EXACT,100,Passiflora coriacea,Passiflora coriacea,Passiflora coriacea Juss.,7565198,Passiflora biformis Mast. | Passiflora cheiroptera Cortés | Passiflora clypeata Sm. | Passiflora coriacea var. marmorata Regel | Passiflora difformis Kunth | Passiflora obtusifolia Sessé & Moc.,6,bat-leaf passionflower,bat-leaf passionflower,1
Passiflora edulis Sims.,EXACT,100,Passiflora edulis,Passiflora edulis,Passiflora edulis Sims,2874190,Passiflora cuneifolia Cav. | Passiflora diaden Vell. | Passiflora edulis f. edulis | Passiflora edulis var. edulis | Passiflora edulis var. pomifera (M.Roem.) Mast. | Passiflora edulis var. rubricaulis (J.Jacq.) Mast. | Passiflora fragrans Regel ex Mast. | Passiflora gratissima A.St-Hil. | Passiflora incarnata Ker Gawl. | Passiflora iodocarpa Barb.Rodr. | Passiflora middletoniana Paxton | Passiflora pallidiflora Bertol. | Passiflora perfecta J.R.Duncan & V.C.Davies | Passiflora picroderma Barb.Rodr. | Passiflora pomifera M.Roem. | Passiflora rubricaulis J.Jacq. | Passiflora vernicosa Barb.Rodr.,17,Passion Fruit,"Grinadel | Passion Fruit | Passionfruit, Purple granadilla, Purple passionfruit, Black passion fruit | Purple granadilla | common passionfruit | couzou | fruit de la passion",7
Passiflora foetida L.,EXACT,100,Passiflora foetida,Passiflora foetida,Passiflora foetida L.,2874211,Passiflora balansae Chodat | Passiflora ciliata var. polyadena Griseb. | Passiflora foetida Vell. | Passiflora foetida f. glabra A.Fern. & R.Fern. | Passiflora foetida f. latifolia Kuntze | Passiflora foetida f. suberecta Chodat & Hassl. | Passiflora foetida subsp. polyadena (Griseb.) Borhidi | Passiflora foetida var. ellisonii Vanderpl. | Passiflora foetida var. fluminensis (M.Roem.) Killip | Passiflora foetida var. gardneri Killip | Passiflora foetida var. glaziovii Killip | Passiflora foetida var. gossypiifolia Kuntze | Passiflora foetida var. longipedunculata Killip,13,Killip,Corona di La Birgen | Fetid passionflower | Killip | Korona di la Birgen | Koronashon | Maraca,6
Passiflora incarnata L.,EXACT,100,Passiflora incarnata,Passiflora incarnata,Passiflora incarnata L.,2874218,Passiflora edulis var. keri (Spreng.) Mast. | Passiflora incarnata f. alba Waterf. | Passiflora incarnata var. integriloba DC. | Passiflora incarnata var. major Sweet | Passiflora keri Spreng. | Passiflora rigidula J.Jacq.,6,maypop,Purple Passionflower | apricot-vine | maypop | maypop passionflower | passionflower,5
Passiflora quadrangularis L.,EXACT,100,Passiflora quadrangularis,Passiflora quadrangularis,Passiflora quadrangularis L.,2874183,Passiflora grandiflora Salisb. | Passiflora hexangularis Raeusch. | Passiflora hullettii Mast. | Passiflora macrocarpa Mast. | Passiflora macrocarpa W.Thomps. | Passiflora macroceps Mast. | Passiflora quadrangularis Triana & Planch. | Passiflora quadrangularis var. acubifolia Van Geert | Passiflora quadrangularis var. alata Ewbank | Passiflora quadrangularis var. decaisneana Pritz. | Passiflora quadrangularis var. sulcata (Jacq.) DC. | Passiflora quadrangularis var. variegata Veitch | Passiflora sulcata Jacq. | Passiflora tetragona M.Roem.,14,Giant Granadilla,Barbadini | Giant Granadilla,2
Passiflora x violacea 'Atropurpurea',EXACT,85,Passiflora violacea,Passiflora violacea,Passiflora × violacea Loisel.,7152266,Passiflora caerulea var. caeruleoracemosa G.Don | Passiflora caeruleo-racemosa Sabine | Passiflora hybrida Nees & Sinning | Passiflora ×hybrida F.Dietr. | Passiflora ×sanguinea Colla,5,Violet passionflower,Violet passionflower,1
Phyllanthus inflatus Hutch,EXACT,100,Phyllanthus inflatus,Phyllanthus inflatus,Phyllanthus inflatus Hutch.,5381231,,0,,,0
Phyllanthus reticulatus Poir.,EXACT,100,Phyllanthus reticulatus,Phyllanthus reticulatus,Phyllanthus reticulatus Poir.,5382478,,0,Potato bush,Potato bush | potato-bush,2
Pilea involucrata (Sims) C.H.Wright & Dewar 'Moon Walley',EXACT,96,Pilea involucrata,Pilea involucrata,Pilea involucrata (Sims) C.H.Wright & Dewar,7698424,,0,Friendship Plant,Friendship Plant,1
Pilea involucrata (Sims) C.H.Wright & Dewar 'Norfolk',EXACT,96,Pilea involucrata,Pilea involucrata,Pilea involucrata (Sims) C.H.Wright & Dewar,7698424,,0,Friendship Plant,Friendship Plant,1
Piper betle L.,EXACT,100,Piper betle,Piper betle,Piper betle L.,4187904,Piper anisodorum Blanco | Piper anisodorum Náves | Piper anisodorum Náves ex Fern.-Vill. | Piper bathicarpum C.DC. | Piper betel Blanco,5,betel,Betel Pepper | Rambo | Rambu | betel | betelvine,5
Piper kadzura (Choisy) Ohwi.,FUZZY,100,Piper kadsura,Piper kadsura,Piper kadsura (Choisy) Ohwi,4183601,Piper arboricola C.DC. | Piper futokadsura Siebold | Piper futokadsura var. macrophyllum Nakai | Piper futokadzura Siebold | Piper kadsura f. macrophyllum (Nakai) M.Mizush. | Piper kadsura var. boninense M.Mizush. | Piper rupigaudens C.DC. | Piper subglaucescens C.DC. | Piper taquetii C.DC.,9,Kadsura pepper,Kadsura pepper | f&umacr;t&omacr;-kazura | feng teng,3
Piper longum L.,EXACT,100,Piper longum,Piper longum,Piper longum L.,3086338,Piper latifolium W.Hunter | Piper roxburghii (Miq.) J.Presl | Piper sarmentosum Wall. | Piper turbinatum Noronha,4,long pepper,Indian long pepper | bi bo | jaborandi pepper | long pepper,4
Piper magnificum Trel.,EXACT,100,Piper magnificum,Piper magnificum,Piper magnificum Gentil ex Trel.,7860851,Piper bicolor Yunck. | Piper magnificum (Linden) Gentil,2,,,0
Plumeria alba L.,EXACT,100,Plumeria alba,Plumeria alba,Plumeria alba L.,3169673,Plumeria alba var. jacquiniana A.DC. | Plumeria hypoleuca var. angustifolia Gasp. | Plumeria revolutifolia Stokes,3,milktree,Franjipanyé | Nosegaytree | Pigion Wood | West Indian-jasmine | Wild Frangepane | caterpillar-tree | milktree | pagoda-tree | pigeonwood,9
Plumeria rubra L.,EXACT,100,Plumeria rubra,Plumeria rubra,Plumeria rubra L.,3169674,Plumeria acuminata W.T.Aiton | Plumeria acutifolia Poir. | Plumeria acutifolia var. gasparrinii A.DC. | Plumeria angustifolia A.DC. | Plumeria arborea Noronha | Plumeria arborescens G.Don | Plumeria aurantia Bosse | Plumeria aurantia Endl. | Plumeria aurantia Lodd. | Plumeria aurantia Lodd. ex G.Don | Plumeria aurantiaca Steud. | Plumeria bicolor Ruiz & Pav. | Plumeria blandfordiana Lodd. ex G.Don | Plumeria carinata Ruiz & Pav. | Plumeria conspicua G.Don | Plumeria gouanii D.Don | Plumeria gouanii D.Don ex G.Don | Plumeria incarnata Mill. | Plumeria incarnata var. milleri (G.Don) A.DC. | Plumeria jamesonii Hook.,20,Frangipani,Angaiabe | Frangipani,2
Polyalthia suberosa (Raxb.) Thwaites,EXACT,100,Polyalthia suberosa,Polyalthia suberosa,Polyalthia suberosa (Roxb.) Thwaites,3156325,"Polyalthia malabarica (Bedd.) I.M.Turner | Polyalthia suberosa (Roxb.) Hook.f. & Thomson, 1872 | Polyalthia suberosa var. laevis Boerl.",3,Polyalthia plant,Corky Debbar Tree | Polyalthia plant,2
Pseudorhipsalis ramulosa (Salm-Dyck) Barthlott ,EXACT,100,Pseudorhipsalis ramulosa,Pseudorhipsalis ramulosa,Pseudorhipsalis ramulosa (Salm-Dyck) Barthlott,7283547,Pseudorhipsalis ramulosa f. ramulosa,1,,,0
