input_name,gbif_matchType,gbif_confidence,gbif_canonicalName,gbif_genus_species,gbif_scientificName,gbif_usageKey,gbif_synonyms,gbif_synonym_count,gbif_english_name,gbif_english_names,gbif_english_name_count,gbif_native_countries,gbif_native_country_codes,gbif_native_total_records,gbif_native_sampled_records,gbif_native_confidence,wfo_taxon_id,wfo_id_method,wfo_query_used,wfo_url,wfo_habitat,wfo_native_distribution,wfo_distribution_raw,wfo_distribution_label,wfo_habitat_label
Delonix regia (Bojer) Raf.,EXACT,100,Delonix regia,Delonix regia,Delonix regia (Bojer ex Hook.) Raf.,2956176,Delonix regia subsp. flavida Stehle | Delonix regia subsp. genuina Stehle | Delonix regia var. flavida Stehlé | Delonix regia var. genuina Stehlé,4,Flamboyan,Flamboyan | Flamboyant Tree | Flanbwayan | Gold Mohar | July Tree | Krishnochura | Royal Poinciana,7,Australia | Colombia,AU | CO,10,10,low,wfo-0000166389,matching_api,Delonix regia,https://www.worldfloraonline.org/taxon/wfo-0000166389,"Delonix regia grows in Human Altered environments including yards, roadsides, abandoned lots and fields. Provided by: [ C ]. Leon Levy Native Plant Preserve Source: [ 12 ].",Introduced distribution,Introduced distribution,native distribution,habitat
Dendrocnide excelsa (Wedd.) Chew.,EXACT,100,Dendrocnide excelsa,Dendrocnide excelsa,Dendrocnide excelsa (Wedd.) Chew,4098881,,0,,,0,Australia,AU,50,50,medium,wfo-0000641019,matching_api,Dendrocnide excelsa,https://www.worldfloraonline.org/taxon/wfo-0000641019,Life Form tree Provided by: [D].Global Tree Search,Introduced distribution,Introduced distribution,native distribution,habitat
Dichrostachys cinerea (L.) Wight. et Arn.,EXACT,100,Dichrostachys cinerea,Dichrostachys cinerea,Dichrostachys cinerea (L.) Wight & Arn.,2975891,Dichrostachys cinerea subsp. lugardae (N.E.Br.) Brenan & Brummitt | Dichrostachys cinerea subsp. paucijuga Miq. | Dichrostachys lugardae N.E.Br. | Dichrostachys platycarpa Welw.,4,Aroma,Aroma | Batrini/sari batrini | Kalahari-Weihnachtsbaum | acacia Saint Domingue | el marabu | marabou-thorn | marabu | mimosa clochette | sickle bush | sicklebush,10,Australia | Kenya | Timor-Leste,AU | KE | TL,8,8,very_low,wfo-0000176871,matching_api,Dichrostachys cinerea,https://www.worldfloraonline.org/taxon/wfo-0000176871,Bushveld and thicket; invades overgrazed areas; Sub-Escarpment Savanna. Provided by: [ F ]. e-Flora of South Africa Source: [ 4 ].,Introduced distribution,Introduced distribution,native distribution,habitat
Dioscorea alata L.,EXACT,100,Dioscorea alata,Dioscorea alata,Dioscorea alata L.,2754476,Dioscorea aculeata Wight | Dioscorea alata subsp. globosa (Roxb.) Prain | Dioscorea alata subsp. purpurea (Roxb.) A.Pouchet | Dioscorea alata subsp. tarri Prain & Burkill | Dioscorea alata subsp. vera Prain & Burkill | Dioscorea alata var. globosa (Roxb.) Prain | Dioscorea alata var. purpurea (Roxb.) A.Pouchet | Dioscorea alata var. tarri Prain & Burkill | Dioscorea alata var. vera Prain & Burkill | Dioscorea atropurpurea Roxb. | Dioscorea colocasiifolia Pax | Dioscorea eburina Lour. | Dioscorea eburnea Lour. | Dioscorea globosa Roxb. | Dioscorea javanica Queva | Dioscorea purpurea Roxb. | Dioscorea rubella Roxb. | Dioscorea sapinii De Wild. | Dioscorea sapinii DeWild. | Dioscorea vulgaris Miq.,20,Yams,"Chiazi | Greater Yams | Guyana arrowroot | Ovi tsabo, Ovi tsabo lahi | Water yam | Winged Yam | Yams | greater yam",8,Australia,AU,2,2,very_low,wfo-0000388864,matching_api,Dioscorea alata,https://www.worldfloraonline.org/taxon/wfo-0000388864,Terrícola Provided by: [ I ]. Brazilian Flora 2020 project - Projeto Flora do Brasil 2020,Introduced distribution,Introduced distribution,native distribution,habitat
Dioscorea oppositifolia L.,EXACT,100,Dioscorea oppositifolia,Dioscorea oppositifolia,Dioscorea oppositifolia L.,2754965,Dioscorea opposita Thunb. | Dioscorea oppositifolia var. dukhunensis Prain & Burkill | Dioscorea oppositifolia var. linnaei Prain & Burkill | Dioscorea oppositifolia var. thwaitesii Prain & Burkill,4,Chinese yam,Chinese yam | cinnamon vine | ma,3,,,0,0,none,wfo-0000393046,matching_api,Dioscorea oppositifolia,https://www.worldfloraonline.org/taxon/wfo-0000393046,Life Form,,,,habitat
Dioscorea polystachya Turcz. (Dioscorea batatas),HIGHERRANK,100,Dioscorea polystachya,Dioscorea polystachya,Dioscorea polystachya Turcz.,2754732,Dioscorea batatas Decne. | Dioscorea batatas f. clavata Makino | Dioscorea batatas f. daikok Makino | Dioscorea batatas f. flabellata Makino | Dioscorea batatas f. rakuda Makino | Dioscorea batatas f. tsukune Makino | Dioscorea batatas subsp. clavata Makino | Dioscorea batatas subsp. daikok Makino | Dioscorea batatas subsp. flabellata Makino | Dioscorea batatas subsp. rakuda Makino | Dioscorea batatas subsp. tsukune Makino | Dioscorea cayenensis var. pseudobatatas Hauman | Dioscorea cayennensis subsp. pseudobatatas Hauman | Dioscorea decaisneana Carrière | Dioscorea doryphora Hance | Dioscorea polystachya f. elongata Nakai | Dioscorea polystachya f. tsukune Nakai | Dioscorea potaninii Prain & Burkill | Dioscorea pseudobatatas (Hauman) Herter | Dioscorea rosthornii Diels,20,Chinese Yam,Chinese Yam | Chinese-potato | Cinnamon-vine | Yam,4,Chinese Taipei,TW,12,12,low,wfo-0000393961,matching_api,Dioscorea polystachya,https://www.worldfloraonline.org/taxon/wfo-0000393961,Life Form,Introduced distribution,Introduced distribution,native distribution,habitat
Dischidia bengalensis Colebr.,EXACT,100,Dischidia bengalensis,Dischidia bengalensis,Dischidia bengalensis Colebr.,3571031,Dischidia bengalensis var. cuneifolia (Wall.) Kuntze | Dischidia bengalensis var. spathulata (Blume) Kuntze | Dischidia cuneifolia Wall. | Dischidia loeseneriana Schltr. | Dischidia pseudobenghalensis Costantin | Dischidia spathulata Blume,6,,,0,,,0,0,none,wfo-0000651616,matching_api,Dischidia bengalensis,https://www.worldfloraonline.org/taxon/wfo-0000651616,Life Form,Nepal | E Himalaya | Assam-Burma | S Asia and SE Asia. Provided by: [ B ]. Plants of Nepal Source: [ 11 ].,"Nepal, E Himalaya, Assam-Burma, S Asia and SE Asia. Provided by: [ B ]. Plants of Nepal Source: [ 11 ].",distribution,habitat
Dischidia platyphylla Schltr.,EXACT,100,Dischidia platyphylla,Dischidia platyphylla,Dischidia platyphylla Schltr.,3582027,,0,,,0,,,0,0,none,wfo-0000651732,matching_api,Dischidia platyphylla,https://www.worldfloraonline.org/taxon/wfo-0000651732,Life Form,,,,habitat
Dischidia subulata Warb. Dischidia cordifolia,HIGHERRANK,100,Dischidia subulata,Dischidia subulata,Dischidia subulata Warb.,7312659,,0,,,0,,,0,0,none,wfo-0000651779,matching_api,Dischidia subulata,https://www.worldfloraonline.org/taxon/wfo-0000651779,Life Form,,,,habitat
Dischidia vidalii Becc. ,EXACT,100,Dischidia vidalii,Dischidia vidalii,Dischidia vidalii Becc.,8017070,Dischidia pectenoides H.Pearson,1,,,0,,,0,0,none,wfo-0000651795,matching_api,Dischidia vidalii,https://www.worldfloraonline.org/taxon/wfo-0000651795,Life Form,,,,habitat
Elaeis guineensis Jacq,EXACT,100,Elaeis guineensis,Elaeis guineensis,Elaeis guineensis Jacq.,2731882,Elaeis dybowskii Hua | Elaeis guineensis f. androgyna A.Chev. | Elaeis guineensis f. caryolitica Becc. | Elaeis guineensis f. dioica A.Chev. | Elaeis guineensis f. dura Becc. | Elaeis guineensis f. fatua Becc. | Elaeis guineensis f. ramosa A.Chev. | Elaeis guineensis f. semidura Becc. | Elaeis guineensis f. tenera Becc. | Elaeis guineensis subsp. albescens Becc. | Elaeis guineensis subsp. androgyna A.Chev. | Elaeis guineensis subsp. angulosa Becc. | Elaeis guineensis subsp. caryolitica Becc. | Elaeis guineensis subsp. ceredia A.Chev. | Elaeis guineensis subsp. compressa Becc. | Elaeis guineensis subsp. dioica A.Chev. | Elaeis guineensis subsp. dura Becc. | Elaeis guineensis subsp. fatua Becc. | Elaeis guineensis subsp. gracilinux A.Chev. | Elaeis guineensis subsp. idolatrica A.Chev.,20,Oil palm,"African Oil Palm | Mavangati lahi, Mavangati menaka | Mbija n'drume, Mbija matra | Oil palm | apwiraiasi | dendezeiro",6,"Afghanistan | Angola | Bahamas | Benin | Brazil | Burkina Faso | Cameroon | Congo, Democratic Republic of the | Croatia | Cuba | Côte d’Ivoire | Equatorial Guinea | France | French Polynesia | Gabon | Germany | Ghana | Guinea | Guinea-Bissau | Honduras | India | Indonesia | Kenya | Liberia | Madagascar | Micronesia (Federated States of) | Nigeria | Panama | Philippines | Puerto Rico | Sao Tome and Principe | Sierra Leone | South Africa | Sri Lanka | Suriname | Tanzania, United Republic of | Thailand | Trinidad and Tobago | United Kingdom of Great Britain and Northern Ireland | United States of America | Viet Nam",AF | AO | BF | BJ | BR | BS | CD | CI | CM | CU | DE | FM | FR | GA | GB | GH | GN | GQ | GW | HN | HR | ID | IN | KE | LK | LR | MG | NG | PA | PF | PH | PR | SL | SR | ST | TH | TT | TZ | US | VN | ZA,162,162,medium,wfo-0000947985,matching_api,Elaeis guineensis,https://www.worldfloraonline.org/taxon/wfo-0000947985,"En Afrique centrale, présent en République démocratique du Congo, au Rwanda et au Burundi ; hors d’Afrique centrale présent en Afrique tropicale, du Sénégal et de la Gambie jusqu’au Kenya et la Tanzanie, aussi à Madagascar. Provided by: [ F ]. Flore d'Afrique Centrale Source: [ 25 ].",Introduced distribution,Introduced distribution,native distribution,habitat
Elettaria ensal (Gaertn.) Abeyw.,EXACT,100,Elettaria ensal,Elettaria ensal,Elettaria ensal (Gaertn.) Abeyw.,2759860,Elettaria cardamomum subsp. zeylanicum J.Pereira | Elettaria cardamomum var. major Thwaites | Elettaria major Sm.,3,,,0,Sri Lanka,LK,1,1,very_low,wfo-0000406519,matching_api,Elettaria ensal,https://www.worldfloraonline.org/taxon/wfo-0000406519,Life Form,,,,habitat
Epidendum ciliare L.,FUZZY,96,Epidendrum ciliare,Epidendrum ciliare,Epidendrum ciliare L.,5320796,Epidendrum ciliare var. cuspidatum (G.Lodd.) Lindl. | Epidendrum ciliare var. minor Stein | Epidendrum ciliare var. typicum Stehlé | Epidendrum ciliare var. viscidum (Lindl.) Lindl. | Epidendrum cuspidatum G.Lodd. | Epidendrum cuspidatum var. brachysepalum Rchb.f. | Epidendrum luteum Planch. | Epidendrum sanctalucianum H.G.Jones | Epidendrum viscidum Lindl.,9,Eyelash Orchid,Christmas Orchid | Eyelash Orchid | Fringed Star Orchid | Lady's Lash Orchid,4,Brazil | Mexico | Nicaragua,BR | MX | NI,44,44,low,wfo-0000949799,matching_api,Epidendrum ciliare,https://www.worldfloraonline.org/taxon/wfo-0000949799,Epífita Provided by: [ F ]. Brazilian Flora 2020 project - Projeto Flora do Brasil 2020,Widely distributed and common from Mexico to Panama | through the West Indies and in South America. Provided by: [ C ]. Flora de Panama Source: [ 3 5 ].,"Widely distributed and common from Mexico to Panama, through the West Indies and in South America. Provided by: [ C ]. Flora de Panama Source: [ 3 5 ].",distribution,habitat
Epiphyllum anguliger (Lem.) G.Don,EXACT,100,Epiphyllum anguliger,Epiphyllum anguliger,Epiphyllum anguliger (Lem.) G.Don,7673570,,0,Fishbone Cactus,Fishbone Cactus | Moon Cactus | Queen of the Night,3,,,0,0,none,wfo-0000670149,matching_api,Epiphyllum anguliger,https://www.worldfloraonline.org/taxon/wfo-0000670149,Life Form,,,,habitat
Epiphyllum chrysocardium Alex.,EXACT,100,Epiphyllum chrysocardium,Epiphyllum chrysocardium,Epiphyllum chrysocardium Alexander,5621256,,0,,,0,,,0,0,none,wfo-0000670160,matching_api,Epiphyllum chrysocardium,https://www.worldfloraonline.org/taxon/wfo-0000670160,Life Form,,,,habitat
Epiphyllum oxypetalum (DC.) Haw.,EXACT,100,Epiphyllum oxypetalum,Epiphyllum oxypetalum,Epiphyllum oxypetalum (DC.) Haw.,5384031,Epiphyllum acuminatum K.Schum. | Epiphyllum grande (Lem.) Britton & Rose | Epiphyllum latifrons (Zucc.) Pfeiff. | Epiphyllum oxypetalum var. purpusii (Weing.) Backeb. | Epiphyllum purpusii (Weing.) F.M.Knuth,5,Dutchman's Pipe Cactus,Dutchman's Pipe Cactus | Dutchman's-pipe cactus | tan hua,3,,,0,0,none,wfo-0000670203,matching_api,Epiphyllum oxypetalum,https://www.worldfloraonline.org/taxon/wfo-0000670203,Epífita Provided by: [ A ]. Brazilian Flora 2020 project - Projeto Flora do Brasil 2020,,,,habitat
Erythroxylum coca Lam,EXACT,100,Erythroxylum coca,Erythroxylum coca,Erythroxylum coca Lam.,2873939,Erythroxylum bolivianum Burck | Erythroxylum chilpei E.Machado | Erythroxylum peruvianum Mitch. & Pascal | Erythroxylum peruvianum Mitch. & Pascal ex Steud.,4,Coca,Coca,1,Austria | Bolivia (Plurinational State of) | Brazil | China | Colombia | Germany | Peru | Sri Lanka,AT | BO | BR | CN | CO | DE | LK | PE,90,90,medium,wfo-0000679758,matching_api,Erythroxylum coca,https://www.worldfloraonline.org/taxon/wfo-0000679758,Life Form,Introduced distribution,Introduced distribution,native distribution,habitat
Euphorbia leuconeura Boiss,EXACT,100,Euphorbia leuconeura,Euphorbia leuconeura,Euphorbia leuconeura Boiss.,3066177,Euphorbia fournieri Rebut,1,,,0,,,0,0,none,wfo-0000963021,matching_api,Euphorbia leuconeura,https://www.worldfloraonline.org/taxon/wfo-0000963021,Life Form,,,,habitat
Euterpe oleracea Mart.,EXACT,100,Euterpe oleracea,Euterpe oleracea,Euterpe oleracea Mart.,5293398,Euterpe badiocarpa Barb.Rodr. | Euterpe beardii L.H.Bailey | Euterpe brasiliana Oken | Euterpe cuatrecasana Dugand | Euterpe cuatrecasasiana Dugand,5,Assai Palm,Assai Palm,1,Brazil | Colombia | Ecuador,BR | CO | EC,147,147,medium,wfo-0000965687,matching_api,Euterpe oleracea,https://www.worldfloraonline.org/taxon/wfo-0000965687,Terrícola Provided by: [ C ]. Brazilian Flora 2020 project - Projeto Flora do Brasil 2020,Fl | fr (year round); very common in swamp forest and along creeks; the fruits are edible and the apical meristems are marketed and eaten as palm hearts. Pinot | wassai. Provided by: [ B ]. Memoirs of the New York Botanical Garden Source: [ 6 ].,"Fl, fr (year round); very common in swamp forest and along creeks; the fruits are edible and the apical meristems are marketed and eaten as palm hearts. Pinot, wassai. Provided by: [ B ]. Memoirs of the New York Botanical Garden Source: [ 6 ].",distribution,habitat
Ficus benghalensis L.,EXACT,100,Ficus benghalensis,Ficus benghalensis,Ficus benghalensis L.,5361919,Ficus banyana Oken | Ficus benghalensis var. benghalensis | Ficus benghalensis var. krishnae (C.DC.) C.DC. | Ficus chauvieri G.Nicholson | Ficus chauvieri Rob. | Ficus cotoneifolia Vahl | Ficus cotonifolia Stokes | Ficus crassinervia Hort.Berol. | Ficus crassinervia Hort.Berol. ex Kunth & C.D.Bouché | Ficus indica L. | Ficus karet Baill. | Ficus lancifolia Moench | Ficus lasiophylla Link | Ficus procera Salisb. | Ficus umbrosa Salisb.,15,Bengal fig,Bengal banyan | Bengal fig | Bot | East Indian figtree | Indian Banyan,5,Australia | India | Myanmar | United States of America,AU | IN | MM | US,7,7,very_low,wfo-0000687501,matching_api,Ficus benghalensis,https://www.worldfloraonline.org/taxon/wfo-0000687501,Ficus benghalensis grows in Human Altered environments (yards and gardens). Provided by: [ B ]. Leon Levy Native Plant Preserve Source: [ 5 ].,Introduced distribution,Introduced distribution,native distribution,habitat
Ficus cyathistipula Warb,EXACT,100,Ficus cyathistipula,Ficus cyathistipula,Ficus cyathistipula Warb.,7262354,,0,likumo,kimbale | likumo,2,,,0,0,none,wfo-0000688019,matching_api,Ficus cyathistipula,https://www.worldfloraonline.org/taxon/wfo-0000688019,"Groupements forestiers en général, de préférence au bord de l'eau. Provided by: [ B ]. Flore d'Afrique Centrale Source: [ 20 ].",,,,habitat
Ficus elastica Roxb. ex Hornem. 'De la Rouche',EXACT,95,Ficus elastica,Ficus elastica,Ficus elastica Roxb. ex Hornem.,5361903,,0,India rubber tree,India rubber fig | India rubber tree | Indian Rubber Fig | Indian rubberplant | Indian rubbertree | atta bor | figueira-indiana,7,India | Indonesia | Papua New Guinea | Philippines | Spain | Vanuatu,ES | ID | IN | PG | PH | VU,6,6,very_low,wfo-0000688216,matching_api,Ficus elastica,https://www.worldfloraonline.org/taxon/wfo-0000688216,Life Form tree Provided by: [H].Global Tree Search,Introduced distribution,Introduced distribution,native distribution,habitat
Ficus elastica Roxb. ex Hornem. 'Melani',EXACT,95,Ficus elastica,Ficus elastica,Ficus elastica Roxb. ex Hornem.,5361903,,0,India rubber tree,India rubber fig | India rubber tree | Indian Rubber Fig | Indian rubberplant | Indian rubbertree | atta bor | figueira-indiana,7,India | Indonesia | Papua New Guinea | Philippines | Spain | Vanuatu,ES | ID | IN | PG | PH | VU,6,6,very_low,wfo-0000688216,matching_api,Ficus elastica,https://www.worldfloraonline.org/taxon/wfo-0000688216,Life Form tree Provided by: [H].Global Tree Search,Introduced distribution,Introduced distribution,native distribution,habitat
Ficus lyrata Warb.,EXACT,100,Ficus lyrata,Ficus lyrata,Ficus lyrata Warb.,5361899,Ficus jollyana A.Chev. | Ficus pandurata Sander,2,Fiddleleaf Fig,Fiddleleaf Fig | banjo fig | fiddle-leaf fig | lyre-leaf figtree | fiddle leaf fig,5,,,0,0,none,wfo-0001084874,matching_api,Ficus lyrata,https://www.worldfloraonline.org/taxon/wfo-0001084874,Life Form tree Provided by: [J].Global Tree Search,Introduced distribution,Introduced distribution,native distribution,habitat
Ficus obliqua Forst.,EXACT,100,Ficus obliqua,Ficus obliqua,Ficus obliqua G.Forst.,7262513,"Ficus aphanoneura Warb. | Ficus backhousei (Miq.) Miq. | Ficus boothiana Miq. | Ficus elegans (Miq.) Miq. | Ficus eugenioides (Miq.) F.Muell. ex Miq. | Ficus eugenioides (Miq.) F.Muell., 1867 | Ficus graeffii Warb. | Ficus laevis Desf. | Ficus obliqua var. petiolaris (Benth.) Corner | Ficus platypoda var. petiolaris Benth. | Ficus tryonii F.M.Bailey | Ficus virginea Banks & Sol. | Ficus virginea Banks & Sol. ex Hiern",13,small-leaf fig,small-leaf fig,1,Australia | Fiji | Papua New Guinea | Tonga | Vanuatu,AU | FJ | PG | TO | VU,85,85,medium,wfo-0000689487,matching_api,Ficus obliqua,https://www.worldfloraonline.org/taxon/wfo-0000689487,Life Form tree Provided by: [F].Global Tree Search,,,,habitat
Ficus rubiginosa Desf. ex Vent.,EXACT,100,Ficus rubiginosa,Ficus rubiginosa,Ficus rubiginosa Desf. ex Vent.,5361929,Ficus australis Willd. | Ficus ferruginea (Miq.) Miq. | Ficus ferruginea Desf. | Ficus fulva Kunth & C.D.Bouché | Ficus leichhardtii (Miq.) Miq. | Ficus leichhardtii var. angustata Miq. | Ficus muelleri (Miq.) Miq. | Ficus novae-walliae Dum.Cours. | Ficus obliqua var. petiolaris (Benth.) Corner | Ficus platypoda var. leichhardtii (Miq.) R.J.F.Hend. | Ficus platypoda var. mollis Benth. | Ficus platypoda var. petiolaris Benth. | Ficus platypoda var. subacuminata Benth. | Ficus rubiginosa f. glabrescens (F.M.Bailey) D.J.Dixon | Ficus rubiginosa var. glabrescens F.M.Bailey | Ficus rubiginosa var. lucida Maiden | Ficus rubiginosa var. variegata Guilf. | Ficus shirleyana Domin,18,Illawarra fig,Illawarra fig | Port Jackson Fig | Rusty-leaved Fig | larger small-leaf fig | little leaf fig | littleleaf fig | rusty fig,7,Australia | United States of America,AU | US,229,229,high,wfo-0000690111,matching_api,Ficus rubiginosa,https://www.worldfloraonline.org/taxon/wfo-0000690111,Life Form tree Provided by: [B].Global Tree Search,Introduced distribution,Introduced distribution,native distribution,habitat
Ficus rubiginosa Desf. ex Vent. 'Variegata',EXACT,96,Ficus rubiginosa,Ficus rubiginosa,Ficus rubiginosa Desf. ex Vent.,5361929,Ficus australis Willd. | Ficus ferruginea (Miq.) Miq. | Ficus ferruginea Desf. | Ficus fulva Kunth & C.D.Bouché | Ficus leichhardtii (Miq.) Miq. | Ficus leichhardtii var. angustata Miq. | Ficus muelleri (Miq.) Miq. | Ficus novae-walliae Dum.Cours. | Ficus obliqua var. petiolaris (Benth.) Corner | Ficus platypoda var. leichhardtii (Miq.) R.J.F.Hend. | Ficus platypoda var. mollis Benth. | Ficus platypoda var. petiolaris Benth. | Ficus platypoda var. subacuminata Benth. | Ficus rubiginosa f. glabrescens (F.M.Bailey) D.J.Dixon | Ficus rubiginosa var. glabrescens F.M.Bailey | Ficus rubiginosa var. lucida Maiden | Ficus rubiginosa var. variegata Guilf. | Ficus shirleyana Domin,18,Illawarra fig,Illawarra fig | Port Jackson Fig | Rusty-leaved Fig | larger small-leaf fig | little leaf fig | littleleaf fig | rusty fig,7,Australia | United States of America,AU | US,229,229,high,wfo-0000690111,matching_api,Ficus rubiginosa,https://www.worldfloraonline.org/taxon/wfo-0000690111,Life Form tree Provided by: [B].Global Tree Search,Introduced distribution,Introduced distribution,native distribution,habitat
Flacourtia flavescens Willd.,EXACT,100,Flacourtia flavescens,Flacourtia flavescens,Flacourtia flavescens Willd.,7591438,,0,,,0,,,0,0,none,wfo-0000925647,matching_api,Flacourtia flavescens,https://www.worldfloraonline.org/taxon/wfo-0000925647,Life Form tree Provided by: [B].Global Tree Search,,,,habitat
Globba schomburgkii Hook.f.,EXACT,100,Globba schomburgkii,Globba schomburgkii,Globba schomburgkii Hook.f.,2757889,,0,Dancing girl ginger,Dancing girl ginger,1,,,0,0,none,wfo-0000430660,matching_api,Globba schomburgkii,https://www.worldfloraonline.org/taxon/wfo-0000430660,Life Form,,,,habitat
Harpullia arborea (Blanco) Radlk,EXACT,100,Harpullia arborea,Harpullia arborea,Harpullia arborea (Blanco) Radlk.,3190016,Harpullia arborea var. megalocarpa Merr. | Harpullia blancoi Fern.-Vill. | Harpullia condorensis Pierre | Harpullia divaricata Radlk. | Harpullia glanduligera Radlk. | Harpullia imbricata (Blume) Thwaites | Harpullia pedicellaris Radlk. | Harpullia sphaeroloba Radlk. | Harpullia tomentosa Ridl.,9,Tulip-wood tree,Tulip-wood tree,1,Australia | Indonesia | Papua New Guinea | Philippines | Solomon Islands | Timor-Leste | Tonga | Vanuatu,AU | ID | PG | PH | SB | TL | TO | VU,29,29,low,wfo-0000715815,matching_api,Harpullia arborea,https://www.worldfloraonline.org/taxon/wfo-0000715815,Life Form tree Provided by: [E].Global Tree Search,Introduced distribution,Introduced distribution,native distribution,habitat
Hatiora pentaptera (Pfeiff. ex A. Dietr.) Lem.,EXACT,100,Hatiora pentaptera,Hatiora pentaptera,Hatiora pentaptera (Pfeiff. ex A.Dietr.) Lem.,8059553,,0,,,0,,,0,0,none,wfo-0001257897,matching_api,Hatiora pentaptera,https://www.worldfloraonline.org/taxon/wfo-0001257897,Life Form,,,,habitat
Hatiora salicornioides Britton et Rose.,EXACT,100,Hatiora salicornioides,Hatiora salicornioides,Hatiora salicornioides Britton & Rose,7280906,Hatiora bambusoides Britton & Rose,1,dancing-bones,bottle cactus | dancing-bones | drunkard's dream | drunkard's-dream,4,Brazil,BR,451,451,high,wfo-0000716171,matching_api,Hatiora salicornioides,https://www.worldfloraonline.org/taxon/wfo-0000716171,Rupícola Epífita Provided by: [ A ]. Brazilian Flora 2020 project - Projeto Flora do Brasil 2020,,,,habitat
Hedychium coronarium J.G.Koenig.,EXACT,100,Hedychium coronarium,Hedychium coronarium,Hedychium coronarium J.Koenig,7883492,Hedychium chrysoleucum Hook. | Hedychium coronarium subsp. chrysoleucum (Hook.) Baker | Hedychium coronarium subsp. maximum (Roscoe) Eichler | Hedychium coronarium var. baimao Z.Y.Zhu | Hedychium coronarium var. chrysoleucum (Hook.) Baker | Hedychium coronarium var. maximum (Roscoe) Eichler | Hedychium flavescens var. chrysoleucum (Hook.) C.E.C.Fisch. | Hedychium gandasulium Buch.-Ham. | Hedychium gandasulium Buch.-Ham. ex Wall. | Hedychium lingulatum Hassk. | Hedychium maximum Roscoe | Hedychium prophetae Buch.-Ham. | Hedychium prophetae Buch.-Ham. ex Wall. | Hedychium spicatum G.Lodd. | Hedychium sulphureum Wall.,15,butterfly-lily,"'awapuhi-ke'oke'o | Butterfly-ginger | White Garland-lily, White ginger lily, White ginger, White butterfly ginger, White butterfly ginger lily, Butterfly ginger, Butterfly lily, Cinnamon jasmine, Garland flower, Garland lily, Ginger lily, White ginger butterfly lily | White garland-lily | butterfly-lily | cinnamon-jasmine | garland-flower | garland-flowers",8,Australia | Chinese Taipei,AU | TW,2,2,very_low,wfo-0000435787,matching_api,Hedychium coronarium,https://www.worldfloraonline.org/taxon/wfo-0000435787,"In open areas, plantations and moist shaded areas. Indian Ocean Coastal Belt. Port Edward District. Provided by: [ I ]. e-Flora of South Africa Source: [ 5 ].",Introduced distribution,Introduced distribution,native distribution,habitat
Hedychium gardnerianum Ker.-gawl.,EXACT,100,Hedychium gardnerianum,Hedychium gardnerianum,Hedychium gardnerianum Sheph. ex Ker Gawl.,2758700,Hedychium gardnerianum Sheph. | Hedychium gardnerianum var. fasciatum K.Koch | Hedychium gardnerianum var. pallidum (Regel) Baker | Hedychium pallidum Regel,4,ginger-lily,"Girlandenblume | Himalayan ginger | Jin jiang hua | Kahila garland-lily | Kahila garland-lily, Kahili ginger, Wild ginger | Kahili ginger | awapuhi kahili | cevuga dromodromo | conteira | ginger-lily",10,United States of America,US,2,2,very_low,wfo-0000435987,matching_api,Hedychium gardnerianum,https://www.worldfloraonline.org/taxon/wfo-0000435987,Life Form,Nepal | E Himalaya | Assam-Burma and S Asia. Provided by: [ A ]. Plants of Nepal Source: [ 6 ].,"Nepal, E Himalaya, Assam-Burma and S Asia. Provided by: [ A ]. Plants of Nepal Source: [ 6 ].",distribution,habitat
Hedychium horsfieldii R.Br. ex Wall.,EXACT,100,Hedychium horsfieldii,Hedychium horsfieldii,Hedychium horsfieldii R.Br. ex Wall.,2758650,Hedychium horsfieldii R.Br. | Hedychium microchilum Ridl.,2,,,0,,,0,0,none,wfo-0000436106,matching_api,Hedychium horsfieldii,https://www.worldfloraonline.org/taxon/wfo-0000436106,Life Form,,,,habitat
Heliconia 'Olympic Flame',HIGHERRANK,96,Heliconia,Heliconia,Heliconia L.,2760545,,0,Heliconia,Heliconia | Platanillo,2,,,3185,0,high,wfo-4000017228,matching_api,Heliconia,https://www.worldfloraonline.org/taxon/wfo-4000017228,"Un genre avec plus de 200 espèces, la plupart en Amérique tropicale et quelques-unes sur des îles du Pacifique et dans les Moluques, largement cultivées comme plantes ornementales dans les autres régions tropicales et subtropicales. Dans le territoire de la Flore, au moins trois espèces y sont signalées comme cultivées (mais probablement il en existe encore d’autres) dont une parfois échappée avec certitude. Provided by: [ A ]. Flore d'Afrique Centrale Source: [ 8 ].",Introduced distribution,Introduced distribution,native distribution,habitat
Heliconia rostrata Ruiz et Pav.,EXACT,100,Heliconia rostrata,Heliconia rostrata,Heliconia rostrata Ruiz & Pav.,2760967,Heliconia poeppigiana Eichler | Heliconia poeppigiana Eichler ex Petersen,2,False Bird of Paradise,"False Bird of Paradise | Sari hontsi, Sari kida | false bird-of-paradise",3,Brazil | Colombia | Ecuador | Peru,BR | CO | EC | PE,92,92,medium,wfo-0000438784,matching_api,Heliconia rostrata,https://www.worldfloraonline.org/taxon/wfo-0000438784,Terrícola Provided by: [ A ]. Brazilian Flora 2020 project - Projeto Flora do Brasil 2020,Introduced distribution,Introduced distribution,native distribution,habitat
